iter	Passed	Remaining
861	12296	1968
862	12309	1954
863	12322	1939
864	12335	1925
865	12349	1910
866	12362	1896
867	12375	1881
868	12389	1867
869	12405	1853
870	12419	1839
871	12432	1824
872	12445	1810
873	12457	1796
874	12471	1781
875	12484	1767
876	12497	1752
877	12510	1738
878	12524	1724
879	12537	1709
880	12550	1695
881	12564	1680
882	12577	1666
883	12590	1652
884	12603	1637
885	12615	1623
886	12628	1608
887	12641	1594
888	12654	1580
889	12668	1565
890	12681	1551
891	12694	1536
892	12707	1522
893	12720	1508
894	12733	1493
895	12746	1479
896	12759	1465
897	12771	1450
898	12785	1436
899	12797	1421
900	12810	1407
901	12823	1393
902	12835	1378
903	12848	1364
904	12862	1350
905	12874	1335
906	12887	1321
907	12903	1307
908	12916	1293
909	12930	1278
910	12942	1264
911	12956	1250
912	12970	1235
913	12983	1221
914	12996	1207
915	13010	1193
916	13024	1178
917	13038	1164
918	13051	1150
919	13065	1136
920	13078	1121
921	13091	1107
922	13104	1093
923	13117	1078
924	13130	1064
925	13143	1050
926	13158	1036
927	13171	1021
928	13184	1007
929	13197	993
930	13210	979
931	13223	964
932	13237	950
933	13250	936
934	13263	922
935	13276	907
936	13289	893
937	13302	879
938	13315	865
939	13328	850
940	13341	836
941	13354	822
942	13367	807
943	13380	793
944	13393	779
945	13407	765
946	13420	751
947	13433	736
948	13446	722
949	13459	708
950	13471	694
951	13484	679
952	13497	665
953	13510	651
954	13523	637
955	13536	623
956	13550	608
957	13562	594
958	13575	580
959	13588	566
960	13601	551
961	13613	537
962	13627	523
963	13640	509
964	13654	495
965	13667	481
966	13680	466
967	13693	452
968	13707	438
969	13719	424
970	13732	410
971	13746	395
972	13759	381
973	13772	367
974	13786	353
975	13799	339
976	13812	325
977	13825	310
978	13838	296
979	13851	282
980	13864	268
981	13877	254
982	13892	240
983	13905	226
984	13918	211
985	13931	197
986	13944	183
987	13957	169
988	13970	155
989	13984	141
990	13996	127
991	14010	112
992	14023	98
993	14036	84
994	14049	70
995	14062	56
996	14075	42
997	14088	28
998	14101	14
999	14114	0
